Time,Speed,WheelsOffRoad,SteeringAngle,ThrottlePos,BrakePos,LanePosition,DistanceTravelledm,CamHeightm,PropOfTotalHeight,RoadDirection,RoadSlope,RoadHeadingChange,RoadSlopeAngle,RoadAttribute
304.3399,23.0421,0,0.3327978,0.3055466,0,1.056791,5905.28,1.795619,0.9999999,Straight,Down,0,-1.763771,Normal
304.3799,23.05298,0,0.3456151,0.2618906,0,1.040481,5906.202,1.795557,0.9999989,Straight,Down,0.01978234,-1.78051,Normal
304.4199,23.05531,0,0.3566051,0.2499886,0,1.024626,5907.124,1.795514,0.999997,Straight,Down,0,-1.797249,Normal
304.4599,23.05358,0,0.3611827,0.2499886,0,1.00779,5908.046,1.795863,0.999994,Right,Down,0.05233916,-1.814003,Normal
304.4999,23.04995,0,0.3611827,0.27776,0,0.9847635,5908.968,1.794244,0.9999901,Right,Down,0.0656106,-1.793602,Normal
304.5399,23.05194,0,0.3611827,0.2856947,0,0.9623677,5909.89,1.793131,0.9999852,Right,Down,0.06852804,-1.764465,Normal
304.5799,23.05679,0,0.3611827,0.289662,0,0.9404395,5910.812,1.792483,0.9999794,Right,Down,0.0656106,-1.735329,Normal
304.6199,23.06109,0,0.3611827,0.2936446,0,0.9193839,5911.734,1.792593,0.9999726,Right,Down,0.0656106,-1.7062,Normal
304.6599,23.06553,0,0.3620982,0.2936446,0,0.899826,5912.657,1.792601,0.9999648,Right,Down,0.06852804,-1.677071,Normal
304.6999,23.0713,0,0.3666759,0.297612,0,0.8813246,5913.58,1.793385,0.999956,Right,Down,0.0656106,-1.647942,Normal
304.7399,23.07935,0,0.3740001,0.297612,0,0.8631871,5914.502,1.795883,0.9999463,Right,Down,0.0656106,-1.61882,Normal
304.7799,23.08868,0,0.3813243,0.297612,0,0.8459938,5915.426,1.798169,0.9999356,Right,Down,0.07132626,-1.589676,Normal
304.8199,23.09343,0,0.3904796,0.297612,0,0.8277349,5916.35,1.798344,0.9999238,Right,Down,0.09891172,-1.559372,Normal
304.8599,23.09767,0,0.4032969,0.3015793,0,0.8052434,5917.273,1.794269,0.9999112,Right,Down,0.1008706,-1.509956,Normal
304.8999,23.10307,0,0.4115367,0.3015793,0,0.783523,5918.197,1.790672,0.9998975,Right,Down,0.09891172,-1.460495,Normal
304.9399,23.10893,0,0.4325938,0.3015793,0,0.7636803,5919.122,1.788902,0.9998829,Right,Down,0.09891172,-1.411095,Normal
304.9799,23.11341,0,0.453651,0.3015793,0,0.7458678,5920.047,1.788456,0.9998673,Right,Down,0.09891172,-1.361763,Normal
305.0199,23.1202,0,0.4756236,0.3015793,0,0.7284269,5920.972,1.792317,0.9998507,Right,Down,0.09891172,-1.312469,Normal
305.0599,23.12626,0,0.5003428,0.3015793,0,0.7112695,5921.896,1.797007,0.9998332,Right,Down,0.1235407,-1.263069,Normal
305.0999,23.12659,0,0.523231,0.3015793,0,0.6908291,5922.821,1.79323,0.9998147,Right,Down,0.1266688,-1.198685,Normal
305.1399,23.12958,0,0.5516124,0.3015793,0,0.6711698,5923.746,1.789701,0.9997952,Right,Down,0.1266688,-1.131821,Normal
305.1799,23.1333,0,0.5836558,0.3055466,0,0.6540135,5924.672,1.786423,0.9997747,Right,Down,0.1266688,-1.065048,Normal
305.2199,23.13983,0,0.6138718,0.3055466,0,0.6377764,5925.598,1.78981,0.9997533,Right,Down,0.1297215,-0.9984131,Normal
305.2599,23.1426,0,0.6724656,0.3055466,0,0.6213908,5926.523,1.794684,0.9997308,Right,Down,0.1545051,-0.9316635,Normal
305.2999,23.14079,0,0.720073,0.3055466,0,0.6028984,5927.449,1.791508,0.9997075,Right,Down,0.1545051,-0.8487625,Normal
305.3399,23.13876,0,0.8088791,0.3055466,0,0.5864926,5928.375,1.787303,0.9996831,Right,Down,0.1532334,-0.7656784,Normal
305.3799,23.14244,0,0.8976889,0.3055466,0,0.5716707,5929.301,1.786777,0.9996578,Right,Down,0.1532334,-0.6828003,Normal
305.4199,23.1468,0,0.9608603,0.3055466,0,0.5580021,5930.227,1.793513,0.9996315,Right,Down,0.1769387,-0.5998535,Normal
305.4599,23.14216,0,1.063403,0.3055466,0,0.5411845,5931.152,1.790421,0.9996042,Right,Down,0.1791368,-0.5026016,Normal
305.4999,23.1338,0,1.140307,0.3055466,0,0.5286473,5932.078,1.785363,0.9995759,Right,Down,0.1802258,-0.4039383,Normal
305.5399,23.14665,0,1.262988,0.3055466,0,0.5172693,5933.004,1.78901,0.9995466,Right,Down,0.191797,-0.3053741,Normal
305.5799,23.13562,0,1.392081,0.3055466,0,0.5044543,5933.93,1.790373,0.9995165,Right,Down,0.2046302,-0.1998596,Normal
305.6199,23.12414,0,1.495535,0.3055466,0,0.4946159,5934.855,1.786596,0.9994853,Right,Flat,0.2046302,-0.08588409,Normal
305.6599,23.13535,0,1.619135,0.3055466,0,0.4873608,5935.78,1.786754,0.9994531,Right,Flat,0.2158,0.02809143,Normal
305.6999,23.11861,0,1.710688,0.3055466,0,0.4797862,5936.705,1.789679,0.99942,Right,Flat,0.2306999,0.1479568,Normal
305.7399,23.10193,0,1.804991,0.3055466,0,0.4748116,5937.629,1.785468,0.999386,Right,Up,0.2306999,0.2773056,Normal
305.7799,23.10289,0,1.857176,0.3055466,0,0.4739453,5938.553,1.788139,0.9993508,Right,Up,0.2470816,0.4067383,Normal
305.8199,23.08507,0,1.863585,0.3055466,0,0.4722328,5939.477,1.78803,0.9993147,Right,Up,0.2571706,0.545845,Normal
305.8599,23.06745,0,1.85626,0.3055466,0,0.4755314,5940.4,1.782424,0.9992777,Right,Up,0.2631872,0.6904984,Normal
305.8999,23.06242,0,1.845274,0.3055466,0,0.4819434,5941.323,1.789172,0.9992397,Right,Up,0.2825486,0.8381195,Normal
305.9399,23.033,0,1.828794,0.3055466,0,0.4887056,5942.244,1.783262,0.9992008,Right,Up,0.2839303,0.9982071,Normal
305.9799,23.01179,0,1.799498,0.3055466,0,0.5016279,5943.165,1.785648,0.9991608,Right,Up,0.6145305,1.158043,Normal
306.0199,23.00832,0,1.76013,0.3055466,0,0.5108875,5944.085,1.790504,0.9991199,Right,Up,0.9110718,1.206665,Normal
306.0599,22.99086,0,1.684138,0.3055466,0,0.5151791,5945.005,1.790734,0.999078,Right,Up,0.8520276,1.131905,Normal
306.0999,22.96976,0,1.609064,0.3055466,0,0.5119592,5945.924,1.794544,0.9990351,Right,Up,0.800886,1.061157,Normal
306.1399,22.95506,0,1.496451,0.3055466,0,0.501232,5946.843,1.797613,0.9989913,Right,Up,0.7504317,0.9939346,Normal
306.1799,22.94641,0,1.392081,0.3055466,0,0.4847158,5947.761,1.797785,0.9989465,Right,Up,0.7008132,0.9301605,Normal
306.2199,22.9311,0,1.310599,0.3055466,0,0.4645338,5948.678,1.797328,0.9989008,Right,Up,0.6558113,0.8697205,Normal
306.2599,22.91019,0,1.208972,0.3055466,0,0.4410052,5949.594,1.797916,0.998854,Right,Up,0.615485,0.8125,Normal
306.2999,22.89788,0,1.12749,0.3055466,0,0.4146375,5950.511,1.798859,0.9988062,Right,Up,0.57743,0.7582092,Normal
306.3399,22.88692,0,1.014876,0.3055466,0,0.3857383,5951.426,1.80014,0.9987576,Right,Up,0.5399548,0.7067337,Normal
306.3799,22.87666,0,0.9086752,0.3055466,0,0.354831,5952.342,1.799484,0.9987079,Right,Up,0.5066768,0.6579514,Normal
