Time,Speed,WheelsOffRoad,SteeringAngle,ThrottlePos,BrakePos,LanePosition,DistanceTravelledm,CamHeightm,PropOfTotalHeight,RoadDirection,RoadSlope,RoadHeadingChange,RoadSlopeAngle,RoadAttribute
334.8799,22.18786,0,0.1286352,0.2817273,0,0.6193424,6961.275,1.85895,0.9999999,Left,Down,-0.1203313,-0.2709656,TransSlide
334.9199,22.18557,0,0.05630493,0.2817273,0,0.6273355,6962.163,1.860447,0.9999989,Left,Down,-0.1203313,-0.3584518,TransSlide
334.9599,22.18278,0,-0.01693726,0.2817273,0,0.6357373,6963.051,1.861762,0.999997,Left,Down,-0.1203313,-0.4459229,TransSlide
334.9999,22.1786,0,-0.100252,0.2817273,0,0.6454343,6963.938,1.861294,0.999994,Left,Down,-0.1203313,-0.5334167,TransSlide
335.0399,22.17752,0,-0.1359576,0.2817273,0,0.6547985,6964.824,1.862391,0.9999901,Left,Down,-0.1203313,-0.6208496,TransSlide
335.0799,22.17703,0,-0.1423663,0.2817273,0,0.6638539,6965.711,1.86385,0.9999852,Left,Down,-0.1046783,-0.7082291,TransSlide
335.1199,22.17784,0,-0.1423663,0.2817273,0,0.6779517,6966.598,1.865778,0.9999794,Left,Down,-0.08622923,-0.7876892,TransSlide
335.1599,22.17843,0,-0.1423663,0.2817273,0,0.6943458,6967.484,1.866899,0.9999726,Left,Down,-0.08392937,-0.8518372,TransSlide
335.1999,22.18003,0,-0.1432818,0.2817273,0,0.7100894,6968.371,1.867005,0.9999648,Left,Down,-0.08392937,-0.9160385,TransSlide
335.2399,22.1822,0,-0.1615924,0.2817273,0,0.7261251,6969.259,1.866119,0.999956,Left,Down,-0.08392937,-0.9803085,TransSlide
335.2799,22.18438,0,-0.1799047,0.2817273,0,0.7424514,6970.146,1.864562,0.9999463,Left,Down,-0.08622923,-1.044601,TransSlide
335.3199,22.18649,0,-0.2037084,0.2817273,0,0.7600361,6971.034,1.862218,0.9999356,Left,Down,-0.08392937,-1.108879,TransSlide
335.3599,22.18961,0,-0.2183568,0.2817273,0,0.7769653,6971.922,1.862993,0.9999238,Left,Down,-0.08392937,-1.173126,TransSlide
335.3999,22.19292,0,-0.239414,0.2817273,0,0.7936287,6972.81,1.863436,0.9999112,Left,Down,-0.08622923,-1.23735,TransSlide
335.4399,22.19411,0,-0.2604711,0.2817273,0,0.8122672,6973.697,1.862434,0.9998975,Straight,Down,-0.02797646,-1.301491,TransSlide
335.4799,22.20123,0,-0.2870214,0.2817273,0,0.8332182,6974.585,1.865649,0.9998829,Straight,Down,0,-1.327103,TransSlide
335.5199,22.20792,0,-0.3163201,0.2817273,0,0.8532852,6975.474,1.867798,0.9998673,Straight,Down,0.01978234,-1.343201,TransSlide
335.5599,22.21127,0,-0.3208977,0.2817273,0,0.8728198,6976.362,1.868558,0.9998507,Straight,Down,0.01978234,-1.359314,TransSlide
335.5999,22.21977,0,-0.3208977,0.2817273,0,0.8919576,6977.251,1.867668,0.9998332,Straight,Down,0.01978234,-1.37545,TransSlide
335.6399,22.22744,0,-0.314489,0.2817273,0,0.9109441,6978.14,1.866099,0.9998147,Straight,Down,0,-1.391602,TransSlide
335.6799,22.23464,0,-0.314489,0.2817273,0,0.929471,6979.029,1.86443,0.9997952,Straight,Down,0.01978234,-1.407761,TransSlide
335.7199,22.24161,0,-0.314489,0.2817273,0,0.9478058,6979.919,1.862846,0.9997747,Straight,Down,0.01978234,-1.423927,TransSlide
335.7599,22.24837,0,-0.314489,0.2817273,0,0.9656085,6980.809,1.861503,0.9997533,Straight,Down,0.01978234,-1.440094,TransSlide
335.7999,22.25499,0,-0.314489,0.2817273,0,0.9828326,6981.699,1.860514,0.9997308,Straight,Down,0.01978234,-1.456261,TransSlide
335.8399,22.26153,0,-0.274204,0.2817273,0,0.9993154,6982.589,1.859793,0.9997075,Straight,Down,0,-1.472443,TransSlide
335.8799,22.26804,0,-0.18906,0.2817273,0,1.015004,6983.48,1.859327,0.9996831,Straight,Down,0,-1.488625,TransSlide
335.9199,22.27452,0,-0.1286334,0.2817273,0,1.030151,6984.371,1.859002,0.9996578,Straight,Down,0.01978234,-1.504814,TransSlide
335.9599,22.28095,0,-0.100252,0.2817273,0,1.044879,6985.262,1.858684,0.9996315,Straight,Down,0.01978234,-1.520996,TransSlide
335.9999,22.28738,0,-0.0956744,0.2817273,0,1.059332,6986.153,1.858552,0.9996042,Straight,Down,0.01978234,-1.537193,TransSlide
336.0399,22.29382,0,-0.1121539,0.2817273,0,1.073049,6987.045,1.858431,0.9995759,Straight,Down,0,-1.553391,TransSlide
336.0799,22.30027,0,-0.1121539,0.2817273,0,1.085719,6987.937,1.85831,0.9995466,Straight,Down,0,-1.569595,TransSlide
336.1199,22.30667,0,-0.100252,0.2817273,0,1.097525,6988.829,1.858243,0.9995165,Straight,Down,0.01978234,-1.5858,TransSlide
336.1599,22.31302,0,-0.08102596,0.2817273,0,1.108661,6989.722,1.858204,0.9994853,Straight,Down,0.01978234,-1.602013,TransSlide
336.1999,22.31949,0,-0.03433228,0.2539559,0,1.11925,6990.614,1.858072,0.9994531,Straight,Down,0,-1.618225,TransSlide
336.2399,22.32035,0,0.0050354,0.2460212,0,1.129157,6991.507,1.858099,0.99942,Straight,Down,0,-1.634445,TransSlide
336.2799,22.31952,0,0.03799438,0.2301518,0,1.1385,6992.399,1.858727,0.9993859,Straight,Down,0.01978234,-1.650665,TransSlide
336.3199,22.31587,0,0.0819397,0.2023651,0,1.147457,6993.292,1.858988,0.9993508,Straight,Down,0.01978234,-1.66687,TransSlide
336.3599,22.30663,0,0.1121521,0.1944305,0,1.15585,6994.185,1.858938,0.9993147,Straight,Down,0.01978234,-1.683075,TransSlide
336.3999,22.29449,0,0.1414526,0.1944305,0,1.163786,6995.076,1.858966,0.9992777,Straight,Down,0,-1.69928,TransSlide
336.4399,22.28241,0,0.1771581,0.1944305,0,1.171254,6995.968,1.858951,0.9992397,Straight,Down,0.01978234,-1.715469,TransSlide
336.4799,22.27031,0,0.1963842,0.1904631,0,1.178053,6996.858,1.858879,0.9992008,Straight,Down,0.01978234,-1.731651,TransSlide
336.5199,22.25793,0,0.2192724,0.1745937,0,1.18447,6997.749,1.858817,0.9991608,Straight,Down,0.01978234,-1.747818,TransSlide
336.5599,22.24251,0,0.2430761,0.166659,0,1.190678,6998.639,1.858565,0.9991199,Straight,Down,0.01978234,-1.763985,TransSlide
336.5999,22.22502,0,0.272373,0.1587244,0,1.196552,6999.528,1.858458,0.999078,Straight,Down,0,-1.780136,TransSlide
336.6399,22.20526,0,0.3089941,0.154757,0,1.202247,7000.417,1.858464,0.9990351,Straight,Down,0.01978234,-1.796265,TransSlide
336.6799,22.18455,0,0.3382909,0.154757,0,1.206632,7001.304,1.858783,0.9989913,Straight,Down,0.04845664,-1.812401,TransSlide
336.7199,22.16308,0,0.3630137,0.154757,0,1.20434,7002.191,1.857286,0.9989464,Right,Down,0.0656106,-1.797501,TransSlide
336.7599,22.1419,0,0.3849864,0.154757,0,1.202196,7003.077,1.855953,0.9989008,Right,Down,0.0656106,-1.769485,TransSlide
336.7999,22.12094,0,0.3932261,0.154757,0,1.200362,7003.961,1.855193,0.998854,Right,Down,0.0656106,-1.741508,TransSlide
336.8399,22.09936,0,0.3978038,0.154757,0,1.198686,7004.846,1.855172,0.9988062,Right,Down,0.0656106,-1.713577,TransSlide
336.8799,22.07746,0,0.3978038,0.154757,0,1.197946,7005.729,1.855162,0.9987575,Right,Down,0.0656106,-1.685677,TransSlide
336.9199,22.05649,0,0.3978038,0.154757,0,1.198379,7006.611,1.855619,0.9987079,Right,Down,0.0656106,-1.657806,TransSlide
336.9599,22.03619,0,0.3813243,0.154757,0,1.198366,7007.493,1.857821,0.9986572,Right,Down,0.06852804,-1.62999,TransSlide
336.9999,22.01601,0,0.3620982,0.154757,0,1.199033,7008.374,1.859574,0.9986056,Right,Down,0.06852804,-1.602188,TransSlide
337.0399,21.9947,0,0.3392065,0.154757,0,1.201397,7009.254,1.862502,0.998553,Right,Down,0.08622923,-1.574371,TransSlide
337.0799,21.97128,0,0.3273046,0.154757,0,1.196185,7010.133,1.85826,0.9984995,Right,Down,0.09891172,-1.535843,TransSlide
337.1199,21.94908,0,0.3208959,0.1507896,0,1.19134,7011.011,1.854725,0.9984449,Right,Down,0.09891172,-1.488838,TransSlide
337.1599,21.92693,0,0.3208959,0.1507896,0,1.187221,7011.888,1.851995,0.9983894,Right,Down,0.1008706,-1.441887,TransSlide
337.1999,21.90249,0,0.3208959,0.1507896,0,1.185198,7012.765,1.850171,0.998333,Right,Down,0.09891172,-1.395081,TransSlide
337.2399,21.87938,0,0.3382909,0.1507896,0,1.183273,7013.64,1.852629,0.9982755,Right,Down,0.1008706,-1.348396,TransSlide
337.2799,21.85749,0,0.3620982,0.1507896,0,1.182176,7014.515,1.856395,0.9982171,Right,Down,0.1027921,-1.301773,TransSlide
337.3199,21.83043,0,0.4097056,0.1507896,0,1.179984,7015.388,1.858277,0.9981577,Right,Down,0.1266688,-1.2547,TransSlide
337.3599,21.80445,0,0.4390025,0.1507896,0,1.17507,7016.261,1.854762,0.9980974,Right,Down,0.1266688,-1.191689,TransSlide
337.3999,21.77967,0,0.4637218,0.1507896,0,1.170785,7017.132,1.851282,0.998036,Right,Down,0.1266688,-1.128693,TransSlide
337.4399,21.75481,0,0.4646373,0.1507896,0,1.168859,7018.003,1.848543,0.9979737,Right,Down,0.1266688,-1.06591,TransSlide
337.4799,21.73142,0,0.4646373,0.1507896,0,1.167316,7018.873,1.852423,0.9979104,Right,Down,0.1266688,-1.003319,TransSlide
