Time,Speed,WheelsOffRoad,SteeringAngle,ThrottlePos,BrakePos,LanePosition,DistanceTravelledm,CamHeightm,PropOfTotalHeight,RoadDirection,RoadSlope,RoadHeadingChange,RoadSlopeAngle,RoadAttribute
276.1199,22.00684,0,0.02792358,0.289662,0,0.2275153,5073.434,1.794261,0.9999999,Straight,Down,-0.02797646,-0.2463303,TransSharp
276.1599,22.00585,0,0.02059937,0.289662,0,0.2204896,5074.314,1.793802,0.9999989,Left,Down,-0.1203313,-0.2563477,TransSharp
276.1999,22.00602,0,0.01052856,0.289662,0,0.2174812,5075.194,1.795553,0.999997,Left,Down,-0.1203313,-0.3431168,TransSharp
276.2399,22.00557,0,0.00869751,0.289662,0,0.2143744,5076.074,1.797004,0.999994,Left,Down,-0.1186941,-0.4298782,TransSharp
276.2799,22.00301,0,0.0050354,0.289662,0,0.2119146,5076.954,1.797193,0.9999901,Left,Down,-0.1203313,-0.5166779,TransSharp
276.3199,22.00316,0,0.0050354,0.289662,0,0.2100585,5077.833,1.796191,0.9999852,Left,Down,-0.1203313,-0.6034546,TransSharp
276.3599,22.00494,0,0.0050354,0.289662,0,0.2075824,5078.713,1.798328,0.9999794,Left,Down,-0.1136409,-0.6901703,TransSharp
276.3999,22.00876,0,0.004119873,0.289662,0,0.2076025,5079.593,1.800137,0.9999726,Left,Down,-0.08622923,-0.773941,TransSharp
276.4399,22.01092,0,-0.0004577637,0.289662,0,0.2123885,5080.474,1.8018,0.9999648,Left,Down,-0.08392937,-0.8375778,TransSharp
276.4799,22.01476,0,-0.004119873,0.2658579,0,0.2161864,5081.355,1.802531,0.999956,Left,Down,-0.08622923,-0.9012756,TransSharp
276.5199,22.01568,0,-0.009613037,0.2499886,0,0.2198271,5082.236,1.802018,0.9999463,Left,Down,-0.08392937,-0.9650497,TransSharp
276.5599,22.01253,0,-0.0151062,0.2499886,0,0.2233818,5083.117,1.800758,0.9999356,Left,Down,-0.08392937,-1.028839,TransSharp
276.5999,22.00772,0,-0.02151489,0.2499886,0,0.2277559,5083.997,1.798762,0.9999238,Left,Down,-0.08392937,-1.092621,TransSharp
276.6399,22.00367,0,-0.02243042,0.2499886,0,0.2325825,5084.877,1.79754,0.9999112,Left,Down,-0.08622923,-1.156357,TransSharp
276.6799,22.00089,0,-0.02334595,0.2499886,0,0.236814,5085.757,1.798313,0.9998975,Left,Down,-0.08392937,-1.220047,TransSharp
276.7199,21.99501,0,-0.02334595,0.27776,0,0.2413702,5086.637,1.79699,0.9998829,Straight,Down,-0.04423466,-1.283638,TransSharp
276.7599,22.00102,0,-0.02426147,0.27776,0,0.2498704,5087.517,1.799884,0.9998673,Straight,Down,0.01978234,-1.322479,TransSharp
276.7999,22.00713,0,-0.02883911,0.27776,0,0.2579991,5088.396,1.802657,0.9998507,Straight,Down,0.01978234,-1.338425,TransSharp
276.8399,22.0096,0,-0.0352478,0.27776,0,0.2658585,5089.277,1.804251,0.9998332,Straight,Down,0.01978234,-1.354385,TransSharp
276.8799,22.01757,0,-0.04714966,0.27776,0,0.2736435,5090.158,1.803731,0.9998147,Straight,Down,0,-1.370369,TransSharp
276.9199,22.02521,0,-0.06637752,0.27776,0,0.2815877,5091.039,1.802212,0.9997952,Straight,Down,0.01978234,-1.386375,TransSharp
276.9599,22.03232,0,-0.08743465,0.27776,0,0.2895707,5091.92,1.800566,0.9997747,Straight,Down,0.01978234,-1.402382,TransSharp
276.9999,22.03916,0,-0.1048297,0.27776,0,0.2975022,5092.802,1.798966,0.9997533,Straight,Down,0.01978234,-1.418404,TransSharp
277.0399,22.04582,0,-0.1112384,0.27776,0,0.3054221,5093.684,1.797683,0.9997308,Straight,Down,0,-1.434425,TransSharp
277.0799,22.05237,0,-0.1112384,0.27776,0,0.3133566,5094.565,1.796663,0.9997075,Straight,Down,0.01978234,-1.450447,TransSharp
277.1199,22.05883,0,-0.1112384,0.27776,0,0.3211246,5095.448,1.795759,0.9996831,Straight,Down,0.01978234,-1.466469,TransSharp
277.1599,22.06526,0,-0.1112384,0.27776,0,0.3286601,5096.331,1.795161,0.9996578,Straight,Down,0.01978234,-1.482513,TransSharp
277.1999,22.07163,0,-0.0892657,0.27776,0,0.3362576,5097.213,1.79487,0.9996315,Straight,Down,0.01978234,-1.49855,TransSharp
277.2399,22.07804,0,-0.04623413,0.27776,0,0.3435363,5098.096,1.794857,0.9996042,Straight,Down,0,-1.514587,TransSharp
277.2799,22.08439,0,-0.0050354,0.27776,0,0.3508897,5098.979,1.794782,0.9995759,Straight,Down,0.01978234,-1.530632,TransSharp
277.3199,22.09076,0,0.0453186,0.27776,0,0.3580444,5099.863,1.794778,0.9995466,Straight,Down,0.01978234,-1.546684,TransSharp
277.3599,22.09709,0,0.06271362,0.27776,0,0.365189,5100.747,1.794775,0.9995165,Straight,Down,0.01978234,-1.562737,TransSharp
277.3999,22.10341,0,0.06454468,0.2499886,0,0.3722635,5101.631,1.794825,0.9994853,Straight,Down,0.01978234,-1.578796,TransSharp
277.4399,22.10435,0,0.06454468,0.2142824,0,0.3791644,5102.515,1.794819,0.9994531,Straight,Down,0.01978234,-1.594856,TransSharp
277.4799,22.0983,0,0.06454468,0.1944305,0,0.3861982,5103.398,1.794841,0.99942,Straight,Down,0.01978234,-1.610916,TransSharp
277.5199,22.08764,0,0.06454468,0.1904631,0,0.3931045,5104.282,1.794863,0.9993859,Straight,Down,0.01978234,-1.626968,TransSharp
277.5599,22.0749,0,0.07095337,0.1904631,0,0.4000871,5105.165,1.794662,0.9993508,Straight,Down,0,-1.643005,TransSharp
277.5999,22.0624,0,0.1130676,0.1864958,0,0.4071977,5106.048,1.79461,0.9993147,Straight,Down,0.01978234,-1.659035,TransSharp
277.6399,22.04944,0,0.1936376,0.1864958,0,0.4141908,5106.93,1.795245,0.9992777,Straight,Down,0.01978234,-1.675056,TransSharp
277.6799,22.03604,0,0.2595556,0.1825284,0,0.4215438,5107.812,1.795791,0.9992397,Straight,Down,0.01978234,-1.691063,TransSharp
277.7199,22.02203,0,0.3392065,0.166659,0,0.4289453,5108.692,1.796233,0.9992008,Straight,Down,0.01978234,-1.707069,TransSharp
277.7599,22.00553,0,0.3978038,0.1388876,0,0.4366172,5109.573,1.796414,0.9991608,Straight,Down,0.01978234,-1.723053,TransSharp
277.7999,21.98288,0,0.4518199,0.1269856,0,0.4447927,5110.452,1.796681,0.9991199,Straight,Down,0.01978234,-1.739021,TransSharp
277.8399,21.95731,0,0.4829478,0.1269856,0,0.4530128,5111.331,1.796855,0.999078,Straight,Down,0.01978234,-1.754982,TransSharp
277.8799,21.93149,0,0.4875255,0.1269856,0,0.461522,5112.208,1.796992,0.9990351,Straight,Down,0,-1.77092,TransSharp
277.9199,21.90575,0,0.4829478,0.1269856,0,0.4704166,5113.084,1.797127,0.9989913,Straight,Down,0.01978234,-1.786835,TransSharp
277.9599,21.88026,0,0.4829478,0.1269856,0,0.4800008,5113.96,1.797595,0.9989464,Straight,Down,0.01978234,-1.802742,TransSharp
277.9999,21.85346,0,0.4829478,0.1269856,0,0.486689,5114.834,1.797902,0.9989008,Right,Down,0.06852804,-1.814682,TransSharp
278.0399,21.8269,0,0.4829478,0.1269856,0,0.4897536,5115.708,1.796944,0.998854,Right,Down,0.06852804,-1.787071,TransSharp
278.0799,21.80025,0,0.4820323,0.1269856,0,0.4935578,5116.58,1.796078,0.9988062,Right,Down,0.06852804,-1.759491,TransSharp
278.1199,21.77384,0,0.4811168,0.1468223,0,0.4982589,5117.451,1.795876,0.9987575,Right,Down,0.0656106,-1.731956,TransSharp
278.1599,21.75157,0,0.4811168,0.1468223,0,0.5038103,5118.321,1.796068,0.9987079,Right,Down,0.0656106,-1.70446,TransSharp
278.1999,21.72894,0,0.4994273,0.1587244,0,0.5107438,5119.19,1.796334,0.9986572,Right,Down,0.0656106,-1.676994,TransSharp
278.2399,21.70915,0,0.5113292,0.1587244,0,0.5193815,5120.059,1.795985,0.9986056,Right,Down,0.0656106,-1.649559,TransSharp
278.2799,21.6903,0,0.5113292,0.1587244,0,0.5286291,5120.927,1.798517,0.998553,Right,Down,0.06852804,-1.622177,TransSharp
278.3199,21.67144,0,0.5113292,0.1587244,0,0.5389553,5121.794,1.800744,0.9984995,Right,Down,0.06852804,-1.59481,TransSharp
278.3599,21.65036,0,0.5122447,0.1587244,0,0.5505553,5122.66,1.803223,0.9984449,Right,Down,0.09487279,-1.567413,TransSharp
278.3999,21.62885,0,0.5351329,0.1587244,0,0.5567387,5123.525,1.799307,0.9983894,Right,Down,0.09891172,-1.524826,TransSharp
278.4399,21.60826,0,0.5607677,0.1587244,0,0.5638973,5124.39,1.795846,0.998333,Right,Down,0.1008706,-1.478539,TransSharp
