Time,Speed,WheelsOffRoad,SteeringAngle,ThrottlePos,BrakePos,LanePosition,DistanceTravelledm,CamHeightm,PropOfTotalHeight,RoadDirection,RoadSlope,RoadHeadingChange,RoadSlopeAngle,RoadAttribute
317.9799,21.60835,0,-0.04623413,0.289662,0,0.709762,5504.494,0.9255689,9.106265E-08,Left,Down,-0.08392937,-0.8106155,TransSlide
318.0199,21.61284,0,-0.06546199,0.289662,0,0.7191483,5505.358,0.9262518,1.076195E-06,Left,Down,-0.08392937,-0.8731461,TransSlide
318.0599,21.61717,0,-0.08102596,0.289662,0,0.7284955,5506.223,0.9261823,3.013346E-06,Left,Down,-0.08622923,-0.9357452,TransSlide
318.0999,21.62342,0,-0.0956744,0.289662,0,0.7377356,5507.088,0.925167,5.935629E-06,Left,Down,-0.08392937,-0.9983978,TransSlide
318.1399,21.62819,0,-0.1066607,0.289662,0,0.74691,5507.953,0.9234247,9.843045E-06,Left,Down,-0.08392937,-1.061081,TransSlide
318.1799,21.63391,0,-0.1176471,0.289662,0,0.7562064,5508.818,0.921985,1.472731E-05,Left,Down,-0.08392937,-1.123741,TransSlide
318.2199,21.64091,0,-0.1231402,0.289662,0,0.7652374,5509.684,0.9227653,2.057188E-05,Left,Down,-0.08622923,-1.186394,TransSlide
318.2599,21.64553,0,-0.1240557,0.289662,0,0.7742037,5510.55,0.9226942,2.73933E-05,Left,Down,-0.07661668,-1.249023,TransSlide
318.2999,21.65285,0,-0.1304644,0.289662,0,0.7848301,5511.416,0.9225368,3.519985E-05,Straight,Down,0.01978234,-1.311584,TransSlide
318.3399,21.66298,0,-0.1377887,0.289662,0,0.7970248,5512.282,0.9253051,4.39667E-05,Straight,Down,0,-1.329247,TransSlide
318.3799,21.67264,0,-0.1478595,0.289662,0,0.809046,5513.149,0.9272649,5.371041E-05,Straight,Down,0,-1.344948,TransSlide
318.4199,21.6794,0,-0.1551837,0.289662,0,0.8209742,5514.017,0.9278824,6.443924E-05,Straight,Down,0.01978234,-1.36068,TransSlide
318.4599,21.69116,0,-0.1606768,0.289662,0,0.8326398,5514.884,0.9269808,7.61201E-05,Straight,Down,0.01978234,-1.376434,TransSlide
318.4999,21.70207,0,-0.1606768,0.289662,0,0.8440217,5515.752,0.9253909,8.88192E-05,Straight,Down,0.01978234,-1.392204,TransSlide
318.5399,21.71258,0,-0.1615924,0.289662,0,0.8549922,5516.62,0.9238124,0.0001024372,Straight,Down,0,-1.407982,TransSlide
318.5799,21.72287,0,-0.1652545,0.289662,0,0.8657852,5517.489,0.9224674,0.0001170652,Straight,Down,0,-1.423767,TransSlide
318.6199,21.73297,0,-0.1670855,0.289662,0,0.8762707,5518.358,0.9214342,0.0001326534,Straight,Down,0.01978234,-1.439568,TransSlide
318.6599,21.74297,0,-0.1725787,0.289662,0,0.8863915,5519.228,0.9205472,0.0001492268,Straight,Down,0.01978234,-1.455368,TransSlide
318.6999,21.75291,0,-0.1799047,0.289662,0,0.8960752,5520.098,0.9199488,0.0001667771,Straight,Down,0.01978234,-1.471169,TransSlide
318.7399,21.76279,0,-0.1799047,0.289662,0,0.9052748,5520.968,0.9194826,0.0001852877,Straight,Down,0.01978234,-1.486984,TransSlide
318.7799,21.7726,0,-0.1799047,0.289662,0,0.9139827,5521.839,0.9191657,0.0002047751,Straight,Down,0.01978234,-1.5028,TransSlide
318.8199,21.78238,0,-0.1799047,0.289662,0,0.9222454,5522.71,0.9189907,0.0002252476,Straight,Down,0.01978234,-1.518631,TransSlide
318.8599,21.79216,0,-0.1799047,0.289662,0,0.9300541,5523.582,0.9189017,0.0002466804,Straight,Down,0.01978234,-1.534462,TransSlide
318.8999,21.80191,0,-0.1799047,0.289662,0,0.9373606,5524.454,0.9188489,0.0002691232,Straight,Down,0.01978234,-1.550301,TransSlide
318.9399,21.8116,0,-0.1799047,0.289662,0,0.9440632,5525.326,0.9187838,0.0002925181,Straight,Down,0.01978234,-1.566147,TransSlide
318.9799,21.82127,0,-0.1799047,0.289662,0,0.9502299,5526.199,0.9188411,0.0003168649,Straight,Down,0.01978234,-1.582008,TransSlide
319.0199,21.83091,0,-0.1734942,0.289662,0,0.9560103,5527.072,0.9188474,0.0003421969,Straight,Down,0,-1.597862,TransSlide
319.0599,21.84034,0,-0.1670855,0.289662,0,0.9611659,5527.946,0.9187456,0.000368514,Straight,Down,0.01978234,-1.613731,TransSlide
319.0999,21.85019,0,-0.148775,0.289662,0,0.9657465,5528.82,0.9184228,0.000395808,Straight,Down,0.01978234,-1.629608,TransSlide
319.1399,21.85995,0,-0.1359576,0.289662,0,0.9698544,5529.694,0.9187547,0.0004240622,Straight,Down,0.01978234,-1.645477,TransSlide
319.1799,21.86958,0,-0.1066607,0.289662,0,0.9733908,5530.569,0.9193026,0.0004533016,Straight,Down,0.01978234,-1.661362,TransSlide
319.2199,21.87907,0,-0.07553279,0.289662,0,0.9764004,5531.444,0.9196449,0.0004835178,Straight,Down,0.01978234,-1.677261,TransSlide
319.2599,21.88909,0,-0.04806519,0.289662,0,0.9789644,5532.319,0.9197428,0.0005146944,Straight,Down,0,-1.693161,TransSlide
319.2999,21.89904,0,-0.01144409,0.289662,0,0.9811611,5533.195,0.919839,0.0005468478,Straight,Down,0.01978234,-1.709061,TransSlide
319.3399,21.90882,0,0.02059937,0.289662,0,0.9827066,5534.071,0.9197992,0.0005799863,Straight,Down,0,-1.724976,TransSlide
319.3799,21.91867,0,0.05172729,0.289662,0,0.9836462,5534.948,0.919654,0.0006140851,Straight,Down,0.01978234,-1.740898,TransSlide
319.4199,21.9286,0,0.0819397,0.289662,0,0.9842021,5535.825,0.9196712,0.0006491608,Straight,Down,0.01978234,-1.756821,TransSlide
319.4599,21.9385,0,0.1039124,0.289662,0,0.9843873,5536.703,0.9196009,0.0006852216,Straight,Down,0.01978234,-1.772758,TransSlide
319.4999,21.94837,0,0.1277196,0.289662,0,0.9841006,5537.581,0.9195572,0.0007222344,Straight,Down,0,-1.788704,TransSlide
319.5399,21.95919,0,0.1423681,0.289662,0,0.9835353,5538.458,0.9199119,0.0007602324,Straight,Down,0.01978234,-1.804665,TransSlide
319.5799,21.96725,0,0.1698339,0.2856947,0,0.9772241,5539.337,0.9191318,0.0007991824,Right,Down,0.06852804,-1.811218,TransSlide
319.6199,21.97537,0,0.1945531,0.2856947,0,0.9680675,5540.216,0.9179126,0.0008391506,Right,Down,0.0656106,-1.783432,TransSlide
319.6599,21.98357,0,0.2137792,0.2856947,0,0.9589285,5541.095,0.9170209,0.0008800708,Right,Down,0.06852804,-1.755638,TransSlide
319.6999,21.9915,0,0.2485693,0.2856947,0,0.9496212,5541.975,0.9168115,0.000921968,Right,Down,0.0656106,-1.727844,TransSlide
319.7399,21.9989,0,0.2787817,0.2856947,0,0.9402168,5542.855,0.9170558,0.0009648253,Right,Down,0.0656106,-1.700043,TransSlide
319.7799,22.00569,0,0.3208959,0.2856947,0,0.930999,5543.735,0.9167857,0.001008668,Right,Down,0.0656106,-1.672249,TransSlide
319.8199,22.01335,0,0.3675914,0.2856947,0,0.9221745,5544.616,0.9182969,0.001053487,Right,Down,0.0656106,-1.644463,TransSlide
319.8599,22.02244,0,0.4042125,0.2856947,0,0.9132911,5545.497,0.9203827,0.001099234,Right,Down,0.06852804,-1.616669,TransSlide
319.8999,22.03273,0,0.453651,0.2856947,0,0.9048343,5546.377,0.922544,0.00114599,Right,Down,0.07132626,-1.588852,TransSlide
319.9399,22.0376,0,0.4985118,0.2856947,0,0.8933133,5547.259,0.9223415,0.00119374,Right,Down,0.09891172,-1.560219,TransSlide
319.9799,22.04306,0,0.5644298,0.2856947,0,0.8783836,5548.141,0.9188157,0.001242434,Right,Down,0.09891172,-1.513046,TransSlide
320.0199,22.04877,0,0.6312668,0.2856947,0,0.8639991,5549.023,0.9155854,0.001292088,Right,Down,0.09891172,-1.465836,TransSlide
320.0599,22.05523,0,0.6843674,0.2856947,0,0.8505224,5549.905,0.9139797,0.001342752,Right,Down,0.09891172,-1.418678,TransSlide
320.0999,22.05993,0,0.7539475,0.2856947,0,0.8382657,5550.788,0.9132748,0.001394368,Right,Down,0.09891172,-1.37159,TransSlide
320.1399,22.06644,0,0.8024704,0.2856947,0,0.8268744,5551.67,0.9166604,0.001446936,Right,Down,0.09891172,-1.324539,TransSlide
320.1799,22.07372,0,0.8610678,0.2856947,0,0.8169644,5552.553,0.9224702,0.001500489,Right,Down,0.1170339,-1.277412,TransSlide
320.2199,22.07399,0,0.9086752,0.2856947,0,0.8016651,5553.436,0.9192876,0.001555027,Right,Down,0.1282043,-1.221115,TransSlide
320.2599,22.07593,0,0.9443808,0.2856947,0,0.7875472,5554.319,0.9162548,0.001610551,Right,Down,0.1266688,-1.157295,TransSlide
320.2999,22.08308,0,0.9855795,0.2856947,0,0.7751967,5555.202,0.9130718,0.001667001,Right,Down,0.1266688,-1.093498,TransSlide
320.3399,22.08347,0,1.019454,0.2856947,0,0.7645373,5556.085,0.9135757,0.001724453,Right,Down,0.1266688,-1.029877,TransSlide
320.3799,22.08997,0,1.067981,0.2856947,0,0.7561026,5556.969,0.9198479,0.001782899,Right,Down,0.1412742,-0.9662247,TransSlide
320.4199,22.08571,0,1.114672,0.2856947,0,0.7441546,5557.853,0.9187948,0.001842264,Right,Down,0.1545051,-0.8955231,TransSlide
320.4599,22.08242,0,1.144885,0.2856947,0,0.7337835,5558.736,0.9160153,0.001902613,Right,Down,0.1532334,-0.8162689,TransSlide
320.4999,22.08433,0,1.179675,0.2856947,0,0.7259927,5559.62,0.9116002,0.001963981,Right,Down,0.1545051,-0.73703,TransSlide
