Time,Speed,WheelsOffRoad,SteeringAngle,ThrottlePos,BrakePos,LanePosition,DistanceTravelledm,CamHeightm,PropOfTotalHeight,RoadDirection,RoadSlope,RoadHeadingChange,RoadSlopeAngle,RoadAttribute
296.4199,22.44559,0,0.02059937,0.2142824,0,0.2842998,5023.177,0.8860288,9.106265E-08,Straight,Flat,0,0.03684235,TransSlide
296.4599,22.42578,0,-0.01144409,0.2023651,0,0.2801608,5024.074,0.8854336,1.076195E-06,Straight,Flat,0,0.03273773,TransSlide
296.4999,22.40382,0,-0.01602173,0.1904631,0,0.2760789,5024.971,0.8852357,3.013346E-06,Straight,Flat,0,0.02864075,TransSlide
296.5399,22.37931,0,-0.01602173,0.1864958,0,0.2720736,5025.866,0.8854348,5.935629E-06,Straight,Flat,0,-0.07691193,Normal
296.5799,22.35363,0,0.01052856,0.1864958,0,0.2676825,5026.761,0.8857719,9.843045E-06,Straight,Flat,0,-0.08635712,Normal
296.6199,22.32759,0,0.01052856,0.1864958,0,0.2634211,5027.654,0.8859112,1.472731E-05,Straight,Flat,0,-0.09579468,Normal
296.6599,22.30167,0,0.01419067,0.1864958,0,0.2592016,5028.546,0.8860013,2.057188E-05,Straight,Flat,0,-0.1052246,Normal
296.6999,22.27581,0,0.01419067,0.1864958,0,0.2546501,5029.438,0.885966,2.73933E-05,Straight,Flat,0,-0.1146393,Normal
296.7399,22.25004,0,0.01419067,0.2222171,0,0.2503194,5030.328,0.8860725,3.519985E-05,Straight,Flat,0,-0.1240387,Normal
296.7799,22.23148,0,0.01419067,0.2261845,0,0.2459736,5031.217,0.8862062,4.39667E-05,Straight,Flat,0,-0.1334381,Normal
296.8199,22.21414,0,0.01419067,0.2380865,0,0.2415933,5032.106,0.886424,5.371041E-05,Straight,Flat,0,-0.1428299,Normal
296.8599,22.19949,0,0.01419067,0.2380865,0,0.2372471,5032.994,0.886421,6.443924E-05,Straight,Down,0,-0.1522064,Normal
296.8999,22.18524,0,0.01419067,0.2380865,0,0.2329997,5033.882,0.8863115,7.61201E-05,Straight,Down,0,-0.1615829,Normal
296.9399,22.17114,0,0.01419067,0.2420539,0,0.2287721,5034.769,0.8859772,8.88192E-05,Straight,Down,0,-0.1709518,Normal
296.9799,22.15772,0,0.01419067,0.2420539,0,0.2246901,5035.655,0.8859054,0.0001024372,Straight,Down,0,-0.1803131,Normal
297.0199,22.14469,0,0.01419067,0.2420539,0,0.2207178,5036.541,0.8866482,0.0001170652,Straight,Down,0,-0.1896744,Normal
297.0599,22.13145,0,0.01419067,0.2420539,0,0.2166502,5037.427,0.8871842,0.0001326534,Straight,Down,0,-0.1990204,Normal
297.0999,22.11893,0,0.01419067,0.2420539,0,0.2125597,5038.312,0.8874258,0.0001492268,Straight,Down,0,-0.2083664,Normal
297.1399,22.10636,0,0.009613037,0.2420539,0,0.2085293,5039.196,0.8874994,0.0001667771,Straight,Down,0,-0.2177124,Normal
297.1799,22.09364,0,-0.004119873,0.2420539,0,0.2047259,5040.08,0.8874967,0.0001852877,Straight,Down,0,-0.2270432,Normal
297.2199,22.08118,0,-0.02883911,0.2182498,0,0.2008171,5040.963,0.88744,0.0002047751,Straight,Down,0,-0.2363739,Normal
297.2599,22.0631,0,-0.05355835,0.2142824,0,0.196851,5041.846,0.8872144,0.0002252476,Straight,Down,-0.01978234,-0.245697,Normal
297.2999,22.04517,0,-0.0892657,0.2023651,0,0.1942854,5042.728,0.88673,0.0002467053,Left,Down,-0.1136409,-0.2550049,Normal
297.3399,22.02585,0,-0.1139849,0.1904631,0,0.1958646,5043.609,0.8885918,0.0002691232,Left,Down,-0.1203313,-0.3375092,Normal
297.3799,22.00427,0,-0.1423663,0.1745937,0,0.1971814,5044.489,0.8898677,0.0002925181,Left,Down,-0.1186941,-0.4242859,Normal
297.4199,21.97849,0,-0.1606768,0.166659,0,0.1986761,5045.369,0.8902275,0.0003168649,Left,Down,-0.1203313,-0.5110168,Normal
297.4599,21.95246,0,-0.1780736,0.166659,0,0.2002154,5046.247,0.8891165,0.0003421969,Left,Down,-0.1203313,-0.5976181,Normal
297.4999,21.92756,0,-0.1844823,0.1626917,0,0.2013606,5047.125,0.8914458,0.000368514,Left,Down,-0.1136409,-0.6840591,Normal
297.5399,21.90283,0,-0.18906,0.1626917,0,0.2044043,5048.001,0.893205,0.000395808,Left,Down,-0.08392937,-0.769165,Normal
297.5799,21.87789,0,-0.1954687,0.1626917,0,0.2109623,5048.876,0.8950992,0.0004240953,Left,Down,-0.08392937,-0.8324432,Normal
297.6199,21.85366,0,-0.1963842,0.1626917,0,0.217217,5049.751,0.8958722,0.0004533016,Left,Down,-0.08392937,-0.8956909,Normal
297.6599,21.82968,0,-0.1972997,0.1626917,0,0.2232198,5050.625,0.895339,0.0004835178,Left,Down,-0.08392937,-0.9589386,Normal
297.6999,21.80667,0,-0.1972997,0.1626917,0,0.2289647,5051.497,0.8940196,0.0005146944,Left,Down,-0.08392937,-1.022148,Normal
297.7399,21.78341,0,-0.1972997,0.1626917,0,0.2345805,5052.369,0.892229,0.0005468809,Left,Down,-0.08392937,-1.085297,Normal
297.7799,21.76075,0,-0.1972997,0.1626917,0,0.2401478,5053.239,0.8907609,0.0005799863,Left,Down,-0.08392937,-1.148346,Normal
297.8199,21.73916,0,-0.1972997,0.1864958,0,0.2451228,5054.109,0.8915227,0.0006140851,Left,Down,-0.08392937,-1.211296,Normal
297.8599,21.72089,0,-0.1972997,0.1904631,0,0.2499045,5054.978,0.8905832,0.0006491856,Left,Down,-0.05233916,-1.274124,Normal
297.8999,21.70806,0,-0.1972997,0.1904631,0,0.2571258,5055.846,0.8923976,0.0006852216,Straight,Down,0,-1.319885,Normal
297.9399,21.69526,0,-0.1972997,0.1904631,0,0.2645699,5056.714,0.8951275,0.0007222344,Straight,Down,0.01978234,-1.335609,Normal
297.9799,21.68151,0,-0.1789892,0.1904631,0,0.2715653,5057.582,0.8969656,0.0007602324,Straight,Down,0.01978234,-1.351326,Normal
298.0199,21.66933,0,-0.1478595,0.1904631,0,0.278147,5058.449,0.896973,0.0007992155,Straight,Down,0.01978234,-1.367065,Normal
298.0599,21.65834,0,-0.1121539,0.1904631,0,0.2841932,5059.315,0.8956905,0.0008391506,Straight,Down,0.01978234,-1.382805,Normal
298.0999,21.64708,0,-0.07003963,0.1904631,0,0.2898943,5060.181,0.894007,0.0008800708,Straight,Down,0,-1.398529,Normal
298.1399,21.63572,0,-0.04714966,0.1904631,0,0.295001,5061.046,0.8924777,0.000921968,Straight,Down,0.01978234,-1.414261,Normal
298.1799,21.62429,0,-0.0352478,0.1706264,0,0.2998485,5061.912,0.8911164,0.0009648253,Straight,Down,0.01978234,-1.429977,Normal
